id,name,duration,path,call_type,call_status,work_code,created_at,agent_info
716,0-2023-10-16 11:38:20.630940.wav,00:00:21,media/1698421516/0-2023-10-16 11:38:20.630940.wav,ptcl,Completed,,2023-10-27 15:45:17,
715,0-2023-10-16 11:38:20.630940.wav,00:00:21,media/1698421475/0-2023-10-16 11:38:20.630940.wav,ptcl,Completed,,2023-10-27 15:44:36,
714,EC5988121026756182023102322092185.wav,00:03:52,media/1698392946/EC5988121026756182023102322092185.wav,ptcl,In Progress,,2023-10-27 07:49:06,
713,EC5988121026754432023102321472280.wav,00:04:48,media/1698392946/EC5988121026754432023102321472280.wav,ptcl,In Progress,,2023-10-27 07:49:06,
712,EC5988121026702632023102321585784.wav,00:09:44,media/1698392946/EC5988121026702632023102321585784.wav,ptcl,In Progress,,2023-10-27 07:49:06,
711,EC5987921005751312023102321534273.wav,00:04:11,media/1698392946/EC5987921005751312023102321534273.wav,ptcl,In Progress,,2023-10-27 07:49:06,
710,EC5988121026732762023102321532850.wav,00:03:31,media/1698392946/EC5988121026732762023102321532850.wav,ptcl,In Progress,,2023-10-27 07:49:06,
709,EC5988121026749552023102322134880.wav,00:01:40,media/1698392946/EC5988121026749552023102322134880.wav,ptcl,In Progress,,2023-10-27 07:49:06,
708,EC5988121026662202023102321582811.wav,00:00:03,media/1698392945/EC5988121026662202023102321582811.wav,ptcl,In Progress,,2023-10-27 07:49:05,
707,EC5987921005746872023102322062986.wav,00:05:49,media/1698392945/EC5987921005746872023102322062986.wav,ptcl,In Progress,,2023-10-27 07:49:05,
706,EC5987921005738482023102322122622.wav,00:06:23,media/1698392944/EC5987921005738482023102322122622.wav,ptcl,In Progress,,2023-10-27 07:49:05,
705,EC5987921005740142023102322015119.wav,00:01:43,media/1698392945/EC5987921005740142023102322015119.wav,ptcl,In Progress,,2023-10-27 07:49:05,
704,EC5987921005749462023102322045355.wav,00:00:18,media/1698392945/EC5987921005749462023102322045355.wav,ptcl,In Progress,,2023-10-27 07:49:05,
703,EC5987321006753602023102322033725.wav,00:18:36,media/1698392943/EC5987321006753602023102322033725.wav,ptcl,In Progress,,2023-10-27 07:49:05,
702,EC5987921005727082023102321463962.wav,00:05:58,media/1698392944/EC5987921005727082023102321463962.wav,ptcl,In Progress,,2023-10-27 07:49:05,
701,EC5987921005735712023102321583654.wav,00:02:07,media/1698392944/EC5987921005735712023102321583654.wav,ptcl,In Progress,,2023-10-27 07:49:04,
700,EC5987521088755522023102321502357.wav,00:04:25,media/1698392944/EC5987521088755522023102321502357.wav,ptcl,In Progress,,2023-10-27 07:49:04,
699,EC5987521088733482023102321560661.wav,00:07:15,media/1698392944/EC5987521088733482023102321560661.wav,ptcl,In Progress,,2023-10-27 07:49:04,
698,EC5987521088753522023102321463218.wav,00:02:56,media/1698392944/EC5987521088753522023102321463218.wav,ptcl,In Progress,,2023-10-27 07:49:04,
697,EC5987321006753202023102321480356.wav,00:03:03,media/1698392943/EC5987321006753202023102321480356.wav,ptcl,In Progress,,2023-10-27 07:49:04,
696,EC5987321006750492023102321515679.wav,00:01:53,media/1698392943/EC5987321006750492023102321515679.wav,ptcl,In Progress,,2023-10-27 07:49:04,
695,EC5987321006734712023102321551992.wav,00:05:26,media/1698392943/EC5987321006734712023102321551992.wav,ptcl,In Progress,,2023-10-27 07:49:04,
694,EC5987321006739072023102322014524.wav,00:00:52,media/1698392943/EC5987321006739072023102322014524.wav,ptcl,In Progress,,2023-10-27 07:49:03,
693,EC5984821155714422023102322103568.wav,00:09:37,media/1698392942/EC5984821155714422023102322103568.wav,ptcl,In Progress,,2023-10-27 07:49:03,
692,EC5984821155753552023102321572055.wav,00:01:38,media/1698392943/EC5984821155753552023102321572055.wav,ptcl,In Progress,,2023-10-27 07:49:03,
691,EC5984821155737492023102322015897.wav,00:01:57,media/1698392942/EC5984821155737492023102322015897.wav,ptcl,In Progress,,2023-10-27 07:49:03,
690,EC5984821155709302023102321482076.wav,00:08:25,media/1698392942/EC5984821155709302023102321482076.wav,ptcl,In Progress,,2023-10-27 07:49:03,
689,EC5984821155719762023102322051076.wav,00:04:17,media/1698392942/EC5984821155719762023102322051076.wav,ptcl,In Progress,,2023-10-27 07:49:03,
688,EC5984151100775372023102321455091.wav,00:12:32,media/1698392942/EC5984151100775372023102321455091.wav,ptcl,In Progress,,2023-10-27 07:49:03,
687,EC5984821155714292023102321593758.wav,00:01:15,media/1698392942/EC5984821155714292023102321593758.wav,ptcl,In Progress,,2023-10-27 07:49:02,
686,EC5984151100748802023102322071088.wav,00:09:37,media/1698392941/EC5984151100748802023102322071088.wav,ptcl,In Progress,,2023-10-27 07:49:02,
685,EC5984151100772282023102321583871.wav,00:01:44,media/1698392941/EC5984151100772282023102321583871.wav,ptcl,In Progress,,2023-10-27 07:49:02,
684,EC5984151100749372023102322021334.wav,00:01:16,media/1698392941/EC5984151100749372023102322021334.wav,ptcl,In Progress,,2023-10-27 07:49:02,
683,EC8066842734741472023102321535696.wav,00:01:00,media/1698392941/EC8066842734741472023102321535696.wav,ptcl,In Progress,,2023-10-27 07:49:02,
682,EC8064542701761052023102321462312.wav,00:10:19,media/1698392941/EC8064542701761052023102321462312.wav,ptcl,In Progress,,2023-10-27 07:49:02,
681,EC8064542701766472023102322070626.wav,00:05:06,media/1698392941/EC8064542701766472023102322070626.wav,ptcl,In Progress,,2023-10-27 07:49:01,
680,EC8066842734748632023102321502339.wav,00:02:12,media/1698392941/EC8066842734748632023102321502339.wav,ptcl,In Progress,,2023-10-27 07:49:01,
679,EC8066842734718692023102321450455.wav,00:04:17,media/1698392941/EC8066842734718692023102321450455.wav,ptcl,In Progress,,2023-10-27 07:49:01,
678,EC8064542701749002023102321571928.wav,00:06:53,media/1698392940/EC8064542701749002023102321571928.wav,ptcl,In Progress,,2023-10-27 07:49:01,
677,EC8064542701771982023102322140476.wav,00:01:30,media/1698392941/EC8064542701771982023102322140476.wav,ptcl,In Progress,,2023-10-27 07:49:01,
676,EC8064542701738862023102322125309.wav,00:00:29,media/1698392940/EC8064542701738862023102322125309.wav,ptcl,In Progress,,2023-10-27 07:49:01,
675,EC8064542701663142023102322052058.wav,00:01:07,media/1698392940/EC8064542701663142023102322052058.wav,ptcl,In Progress,,2023-10-27 07:49:00,
674,EC5982742586774932023102321533035.wav,00:09:16,media/1698392940/EC5982742586774932023102321533035.wav,ptcl,In Progress,,2023-10-27 07:49:00,
673,EC8064151104767322023102321570613.wav,00:03:47,media/1698392940/EC8064151104767322023102321570613.wav,ptcl,In Progress,,2023-10-27 07:49:00,
672,EC8064151104760892023102321531015.wav,00:03:15,media/1698392940/EC8064151104760892023102321531015.wav,ptcl,In Progress,,2023-10-27 07:49:00,
671,EC5982742586776662023102321465805.wav,00:00:31,media/1698392940/EC5982742586776662023102321465805.wav,ptcl,In Progress,,2023-10-27 07:49:00,
670,EC8064151104738392023102321452689.wav,00:02:10,media/1698392939/EC8064151104738392023102321452689.wav,ptcl,In Progress,,2023-10-27 07:49:00,
669,EC8063951184737992023102321450547.wav,00:06:57,media/1698392939/EC8063951184737992023102321450547.wav,ptcl,In Progress,,2023-10-27 07:49:00,
668,EC8063951184741702023102321565100.wav,00:03:14,media/1698392939/EC8063951184741702023102321565100.wav,ptcl,In Progress,,2023-10-27 07:49:00,
667,EC8063451031758252023102322152389.wav,00:07:29,media/1698392939/EC8063451031758252023102322152389.wav,ptcl,In Progress,,2023-10-27 07:49:00,
666,EC8063451031767792023102322040641.wav,00:03:00,media/1698392939/EC8063451031767792023102322040641.wav,ptcl,In Progress,,2023-10-27 07:48:59,
665,EC8063451031767332023102322123998.wav,00:01:52,media/1698392939/EC8063451031767332023102322123998.wav,ptcl,In Progress,,2023-10-27 07:48:59,
664,EC8063451031755912023102322073725.wav,00:04:32,media/1698392939/EC8063451031755912023102322073725.wav,ptcl,In Progress,,2023-10-27 07:48:59,
663,EC8063451031751232023102322003621.wav,00:01:47,media/1698392938/EC8063451031751232023102322003621.wav,ptcl,In Progress,,2023-10-27 07:48:59,
662,EC8063051024765142023102321470081.wav,00:02:11,media/1698392938/EC8063051024765142023102321470081.wav,ptcl,In Progress,,2023-10-27 07:48:59,
661,EC8063051024752752023102321575839.wav,00:03:52,media/1698392938/EC8063051024752752023102321575839.wav,ptcl,In Progress,,2023-10-27 07:48:59,
660,EC8063051024758392023102321502231.wav,00:03:06,media/1698392938/EC8063051024758392023102321502231.wav,ptcl,In Progress,,2023-10-27 07:48:59,
659,EC8062651106772332023102321511586.wav,00:07:57,media/1698392938/EC8062651106772332023102321511586.wav,ptcl,In Progress,,2023-10-27 07:48:59,
658,EC8063051024757212023102321543033.wav,00:02:38,media/1698392938/EC8063051024757212023102321543033.wav,ptcl,In Progress,,2023-10-27 07:48:58,
